word,dom_po_s_subtlex
lose,Verb
lost,Verb
love,Verb
loved,Verb
loves,Verb
lying,Verb
made,Verb
make,Verb
makes,Verb
making,Verb
marched,Verb
marry,Verb
mean,Verb
means,Verb
meant,Verb
meet,Verb
melted,Verb
mend,Verb
met,Verb
might,Verb
milked,Verb
missed,Verb
missing,Verb
mit,Verb
mixed,Verb
move,Verb
moved,Verb
moving,Verb
munch,Verb
murmured,Verb
must,Verb
named,Verb
napping,Verb
need,Verb
nibble,Verb
nodded,Verb
open,Verb
opened,Verb
ordered,Verb
ought,Verb
packed,Verb
paid,Verb
painted,Verb
paints,Verb
pass,Verb
patted,Verb
peeked,Verb
pick,Verb
picked,Verb
placed,Verb
planted,Verb
played,Verb
playing,Verb
plowed,Verb
pointed,Verb
poked,Verb
popped,Verb
poured,Verb
practicing,Verb
pray,Verb
pressed,Verb
pretended,Verb
promised,Verb
protect,Verb
prove,Verb
pull,Verb
pulled,Verb
pumped,Verb
pushed,Verb
put,Verb
raced,Verb
rained,Verb
raised,Verb
rake,Verb
ran,Verb
rattle,Verb
reach,Verb
reached,Verb
read,Verb
realized,Verb
remember,Verb
remind,Verb
replied,Verb
rescue,Verb
retrieving,Verb
returned,Verb
rid,Verb
riding,Verb
rise,Verb
roars,Verb
rocked,Verb
rode,Verb
roll,Verb
rolled,Verb
run,Verb
running,Verb
rushed,Verb
rushing,Verb
said,Verb
sail,Verb
sang,Verb
sat,Verb
saved,Verb
say,Verb
saying,Verb
says,Verb
scratch,Verb
scratched,Verb
screamed,Verb
scrub,Verb
searched,Verb
see,Verb
seek,Verb
seem,Verb
seemed,Verb
seen,Verb
sell,Verb
send,Verb
sent,Verb
serve,Verb
served,Verb
set,Verb
settle,Verb
sew,Verb
shake,Verb
shall,Verb
share,Verb
shed,Verb
shiver,Verb
shook,Verb
shoot,Verb
should,Verb
shout,Verb
shouted,Verb
show,Verb
shut,Verb
siding,Verb
sighed,Verb
sign,Verb
sing,Verb
singing,Verb
sings,Verb
sit,Verb
sitting,Verb
skating,Verb
skipped,Verb
sleep,Verb
sleeping,Verb
slept,Verb
slid,Verb
slide,Verb
slipped,Verb
smash,Verb
smell,Verb
smelled,Verb
smells,Verb
smiled,Verb
smoke,Verb
snapped,Verb
sneeze,Verb
sniffed,Verb
snoring,Verb
snowed,Verb
snuggle,Verb
sold,Verb
sound,Verb
sounded,Verb
sounds,Verb
speak,Verb
sped,Verb
spend,Verb
spent,Verb
spike,Verb
spin,Verb
split,Verb
spoil,Verb
spoke,Verb
spotted,Verb
sprinkled,Verb
sprinkles,Verb
squeak,Verb
stand,Verb
standing,Verb
stared,Verb
start,Verb
started,Verb
stay,Verb
stayed,Verb
steal,Verb
step,Verb
stepped,Verb
stick,Verb
stole,Verb
stood,Verb
stop,Verb
stopped,Verb
stops,Verb
straightened,Verb
stretched,Verb
struck,Verb
stuck,Verb
stumble,Verb
sue,Verb
surrounded,Verb
swam,Verb
swap,Verb
swim,Verb
swish,Verb
swung,Verb
take,Verb
taken,Verb
takes,Verb
taking,Verb
talk,Verb
talking,Verb
teach,Verb
tell,Verb
telling,Verb
thank,Verb
thanked,Verb
think,Verb
thinking,Verb
thinks,Verb
thought,Verb
threw,Verb
throw,Verb
thump,Verb
tickle,Verb
tiptoe,Verb
tire,Verb
told,Verb
took,Verb
tore,Verb
tossed,Verb
touch,Verb
treat,Verb
tried,Verb
tripped,Verb
trot,Verb
try,Verb
trying,Verb
tuck,Verb
tumbled,Verb
turn,Verb
turned,Verb
twinkle,Verb
understand,Verb
upset,Verb
use,Verb
used,Verb
using,Verb
wait,Verb
waited,Verb
waiting,Verb
wake,Verb
walk,Verb
walked,Verb
walking,Verb
wander,Verb
want,Verb
wanted,Verb
wants,Verb
wash,Verb
watched,Verb
watching,Verb
waved,Verb
wear,Verb
wearing,Verb
went,Verb
were,Verb
whispered,Verb
whistled,Verb
wiggle,Verb
wiped,Verb
wish,Verb
wished,Verb
woke,Verb
won,Verb
wonder,Verb
wondered,Verb
woof,Verb
work,Verb
worked,Verb
working,Verb
worn,Verb
worry,Verb
would,Verb
wrapped,Verb
write,Verb
writing,Verb
written,Verb
wrote,Verb
yell,Verb
yelled,Verb
act (part of a play),Noun
act (to take action),Verb
aj,Name
annabelle,Name
apgar,Name
arabella,Name
arnie,Name
babar,Name
band (music),Noun
bar (candy),Noun
bark (tree),Noun
bat (animal),Noun
bat (baseball),Noun
bats (animals),Noun
bean (food),Noun
bear (animal),Noun
bessy,Name
bly,Name
boil (cooking),Verb
bow (action),Verb
bow (bend down),Verb
bow (used to play violin),Noun
bumpety,Name
can (container),Noun
can (i can...),Verb
charge (payment),Noun
charge (responsibility),Noun
check (make sure),Verb
check (payment),Noun
chirped,Verb
choo,Ex
clara,Verb
class (in school),Noun
claudette,Name
clifford,Name
coat (clothes),Noun
colvin,Name
creep (move slowly),Verb
creep (undesirable person),Noun
cross (action),Verb
cross (thing),Noun
curls (cuddle into),Verb
curls (like hair),Noun
dawson,Name
die (cease to live),Verb
dish (plate),Noun
dr.,Noun
duncan,Name
elmo,Name
eloise,Name
express (fast),Adjective
falls (tumble),Verb
featherlegs,Name
ferdinand,Name
fine (as in good),Adjective
flute (instrument),Noun
fly (action),Verb
fly (insect),Noun
fool (idiot),Noun
fool (trick),Verb
francine,Name
gino,Name
goldbug,Name
goldilicious,Name
griffith,Name
gruffalo,Name
helping (in a friendly way),Verb
helping (portion),Noun
hester,Name
hippopotomus,Noun
hiroko,Name
hog (animal),Noun
hog (take it all for oneself),Verb
horton,Name
hose (tube),Noun
hump (bump on your back),Noun
inch (unit of length),Noun
jet (plane),Noun
jig (dance),Noun
jig (device),Noun
joyner,Name
judge (decide for oneself),Verb
judge (person),Noun
katie,Name
katy,Name
keller,Name
land (action),Verb
land (place),Noun
lead (action),Verb
lean (to one side),Verb
leaves (on trees),Noun
left (action),Verb
left (direction),Noun
lemlich,Name
lessmore,Name
let (allow),Verb
lisa,Name
lit (fire),Verb
lizzy,Name
loaded (to fill),Verb
lorax,Name
loxy,Name
lydia,Name
maisy,Name
march (month),Noun
march (way of walking),Verb
mcgee,Name
mcgregor,Name
measured (in control),Verb
measured (with a ruler),Verb
melvin,Name
miles (distance),Noun
miss (action),Verb
miss (title of person),Noun
mortimer,Name
mr.,Noun
mrs.,Noun
ned,Name
nellie,Name
net (for catching something),Noun
nikolai,Name
nutbrown,Name
o'clock,Preposition
ones that play music,Noun
oprah,Name
orange (color),Adjective
orange (fruit),Noun
pan (for cooking),Noun
part (..of something),Noun
part (as in leave),Verb
pet (animal),Noun
pin (hold down),Verb
"pin (little, sharp)",Noun
pinkalicious,Name
"pins (liitle, sharp)",Noun
play (action),Verb
point (place),Noun
point (with finger),Verb
pookie,Name
pot (cooking),Noun
present (gift),Noun
present (to show something),Verb
press (a button),Verb
purse (type of bag),Noun
quack (duck sound),Ex
recess (school),Noun
rings (bell),Noun
rings (finger),Noun
rocky (like a mountain),Adjective
rocky (name),Name
rolls (bread),Name
rolls (like a tire),Verb
rose (flower),Noun
runs (in a race),Verb
sack (bag),Noun
saw (eyes),Verb
setting (a location),Noun
setting (sun),Noun
"shade (e.g., from sun)",Noun
she'd,Noun
shorts (attire),Noun
shot (basketball),Noun
shot (needle),Noun
shows (theater),Noun
shows (verb; to display),Verb
sink (down),Verb
sink (kitchen),Noun
slug (animal),Noun
sonia,Name
sotomayor,Name
spell (magical),Noun
spell (writing),Verb
spike (name),Name
splosh,Ex
spot (location),Noun
spot (see something),Verb
spring (season),Noun
stands (on legs),Verb
stands (produce),Noun
stellaluna,Name
stick (branch),Noun
stick (verb; push something into),Verb
store (the place),Noun
stream (small river),Noun
stream (to move through),Verb
tallchief,Name
tap (with finger),Verb
tears (eyes),Noun
tembo,Name
tie (neckpiece),Noun
tie (rope),Verb
tikki,Name
tip (end of a thing),Noun
tip (push something over),Verb
trip (as in fall),Verb
trip (the kind you take),Noun
trixie,Name
type (keyboard),Verb
type (kind of something),Noun
vet (for animals),Noun
watch (action),Verb
watch (as in wristwatch),Noun
wave (beach),Noun
wave (with hand),Verb
well (as in good),Adverb
well (water),Noun
wind (movement of air),Noun
winds (as in winding a clock),Verb
winfrey,Name
yertle,Name
